IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
3.89.97.90,www.icyte.com,1,1,1,0,0,0,0,0,0
89.42.39.89,infosantioana.hi2.ro,1,1,0,1,1,0,0,0,0
192.185.198.1,basicpolymers.com,1,1,1,0,1,0,0,0,0
221.121.152.43,www.ozziedeals.com.au,1,1,1,0,0,0,0,0,0
202.67.13.174,jnrlawfirm.com,1,1,1,0,0,0,0,0,0
72.249.48.112,allstarpublicidad.com,1,1,0,0,0,1,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
103.231.11.212,scminventure.in,1,1,1,0,0,0,0,0,0
103.146.63.70,stardrivingsolution.com,1,1,1,0,0,0,0,0,0
173.254.72.89,idgsigns.com,1,1,1,0,1,0,0,0,0
204.11.56.48,storybookalpacas.com,1,1,1,0,0,0,0,0,0
198.57.151.36,ssukelabaman.com,1,1,1,0,0,0,0,0,0
198.57.151.36,www.ssukelabaman.com,1,1,1,0,0,0,0,0,0
199.204.248.120,healmedicaltrauma.com,1,1,1,0,1,0,0,0,0
198.57.151.36,ssukelabaman.com,1,1,1,0,0,0,0,0,0
198.57.151.36,ssukelabaman.com,1,1,1,0,0,0,0,0,0
198.57.151.36,ssukelabaman.com,1,1,1,0,0,0,0,0,0
103.237.144.77,dochoiphuchung.com.vn,1,1,0,0,0,0,0,0,0
50.87.253.38,susanrcordova.com,1,1,1,0,1,0,0,0,0
162.241.225.234,www.ourtimesecure.com,1,1,1,0,0,1,0,0,0
192.185.73.188,dmrservice.com,1,1,1,0,0,0,0,0,0
162.144.3.183,dlgulf.com,1,1,1,0,0,1,0,0,0
111.221.42.186,bimatamagroup.com,1,1,1,0,0,0,0,0,0
185.10.112.34,www.sdl.com.sa,1,1,1,0,0,0,0,0,0
185.10.112.34,www.sdl.com.sa,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
103.4.206.86,mockup.metradigitalmedia.com,1,1,1,1,1,0,0,0,0
69.16.205.246,joshuajablon.com,1,1,0,0,0,0,0,0,0
199.116.250.170,oppsite.com,1,1,1,0,0,0,0,0,0
51.91.31.221,ruansa.com.ve,1,1,1,0,0,0,0,0,0
51.91.31.221,ruansa.com.ve,1,1,1,0,0,0,0,0,0
199.116.250.170,oppsite.com,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
194.85.61.76,xn--80atlaje.xn--p1ai,1,1,1,0,0,0,0,0,0
51.91.31.221,ruansa.com.ve,1,1,1,0,0,0,0,0,0
204.93.183.38,ogofarm.com,1,1,0,0,1,0,0,0,0
143.95.107.248,143.95.107.248,1,1,0,0,0,0,0,0,0
108.179.243.167,gardenguardians.us,1,1,1,1,0,0,0,0,1
34.98.99.30,ezorganix.com,1,1,1,0,0,0,0,0,0
162.241.217.207,karlasmakingit.com,1,1,1,0,0,1,0,0,0
80.80.228.32,odas-sainterose.com,1,1,1,1,1,0,0,0,0
192.185.30.210,tpreiasouthtexas.org,1,1,1,0,0,0,0,0,0
92.53.118.116,taxcom-online.ru,1,1,1,1,0,0,0,1,1
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
51.91.31.221,ruansa.com.ve,1,1,1,0,0,0,0,0,0
204.11.56.48,storybookalpacas.com,1,1,1,0,0,0,0,0,0
92.53.118.116,taxcom-online.ru,1,1,1,1,0,0,0,1,1
204.93.193.125,www.jn-accounting.com,1,1,1,0,1,0,0,0,0
204.11.56.48,www.mightyhighcoup.com,1,1,1,0,0,0,0,0,0
199.204.248.120,healmedicaltrauma.com,1,1,1,0,1,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
52.219.116.16,s3-us-west-1.amazonaws.com,1,1,0,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
104.207.245.103,shebasrecipes.com,1,1,1,0,0,0,0,0,0
209.51.129.210,www.motsisifunerals.co.za,1,1,1,0,1,0,0,0,0
192.185.115.127,melbournezombiewalk.com,1,1,1,0,0,0,0,0,0
192.185.73.188,dmrservice.com,1,1,1,0,0,0,0,0,0
190.105.239.72,jvrioclaro.cl,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
172.67.179.252,mutanu.com,0,1,0,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
192.185.154.161,kensonsitepcrepair.com,1,1,1,0,0,0,0,0,0
192.254.233.155,skylergallimore.com,1,1,1,0,0,0,0,0,0
192.185.154.161,www.kensonsitepcrepair.com,1,1,1,0,0,0,0,0,0
198.1.122.41,signdomains.in,1,1,0,0,0,0,0,0,0
77.222.62.39,mvreklamy.ru,1,1,1,0,0,0,0,0,0
45.77.48.36,schmucksbagels.com.au,1,1,0,0,0,0,0,0,0
50.87.150.146,lcd-studio.com,1,1,1,0,0,0,0,0,0
50.87.150.146,lcd-studio.com,1,1,1,0,0,0,0,0,0
200.58.114.16,elatam2.ferozo.com,1,1,1,0,0,0,0,0,0
192.254.233.155,skylergallimore.com,1,1,1,0,0,0,0,0,0
91.217.242.35,www.srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
91.217.242.35,www.srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
115.146.120.179,triumphchinhhang.net,1,1,1,0,0,0,0,0,0
35.186.238.101,zoneplushostel.com,1,1,1,0,0,0,0,0,0
192.254.233.155,skylergallimore.com,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
